internal_model_id,organisation_id,model_name,api_model_id_same_as_internal_exists,suggested_api_model_id
ai21/jamba-2-mini-2026-01-08,ai21,Jamba 2 Mini,no,ai21/jamba-2-mini-2026-01-08
ai21/jamba-large-1-5-2024-08-22,ai21,Jamba Large 1.5,no,ai21/jamba-large-1-5-2024-08-22
ai21/jamba-large-1-6-2025-03-06,ai21,Jamba Large 1.6,no,ai21/jamba-large-1-6-2025-03-06
ai21/jamba-mini-1-5-2024-08-22,ai21,Jamba Mini 1.5,no,ai21/jamba-mini-1-5-2024-08-22
ai21/jamba-mini-1-6-2025-03-06,ai21,Jamba Mini 1.6,no,ai21/jamba-mini-1-6-2025-03-06
ai21/jamba-reasoning-3b-2025-10-08,ai21,Jamba Reasoning 3B,no,ai21/jamba-reasoning-3b-2025-10-08
allenai/bolmo-1b-2025-12-15,allenai,Bolmo 1B,no,allenai/bolmo-1b-2025-12-15
allenai/bolmo-7b-2025-12-15,allenai,Bolmo 7B,no,allenai/bolmo-7b-2025-12-15
allenai/molmo-2-4b-2025-12-16,allenai,Molmo 2 4B,no,allenai/molmo-2-4b-2025-12-16
allenai/molmo-2-8b-2025-12-16,allenai,Molmo 2 8B,no,allenai/molmo-2-8b-2025-12-16
allenai/olmo-3-1-32b-instruct-2025-12-12,allenai,Olmo 3.1 32B Instruct,no,allenai/olmo-3-1-32b-instruct-2025-12-12
allenai/olmo-3-1-32b-think-2025-12-12,allenai,Olmo 3.1 32B Think,no,allenai/olmo-3-1-32b-think-2025-12-12
allenai/olmo-3-32b-think-2025-11-20,allenai,Olmo 3 32B Think,no,allenai/olmo-3-32b-think-2025-11-20
allenai/olmo-3-7b-instruct-2025-11-20,allenai,Olmo 3 7B Instruct,no,allenai/olmo-3-7b-instruct-2025-11-20
allenai/olmo-3-7b-think-2025-11-20,allenai,Olmo 3 7B Think,no,allenai/olmo-3-7b-think-2025-11-20
amazon/nova-2-omni-2025-12-02,amazon,Nova 2 Omni,no,amazon/nova-2-omni-2025-12-02
amazon/nova-2-pro-2025-12-02,amazon,Nova 2 Pro,no,amazon/nova-2-pro-2025-12-02
amazon/nova-2-sonic-2025-12-02,amazon,Nova 2 Sonic,no,amazon/nova-2-sonic-2025-12-02
amazon/nova-canvas-2024-12-03,amazon,Nova Canvas,no,amazon/nova-canvas-2024-12-03
amazon/nova-multimodal-embeddings-2025-12-02,amazon,Nova Multimodal Embeddings,no,amazon/nova-multimodal-embeddings-2025-12-02
amazon/nova-reel-2024-12-03,amazon,Nova Reel,no,amazon/nova-reel-2024-12-03
amazon/nova-sonic-2025-04-08,amazon,Nova Sonic,no,amazon/nova-sonic-2025-04-08
anthropic/claude-1-0-2023-03-14,anthropic,Claude 1.0,no,anthropic/claude-1-0-2023-03-14
anthropic/claude-1-1,anthropic,Claude 1.1,no,anthropic/claude-1-1
anthropic/claude-1-2,anthropic,Claude 1.2,no,anthropic/claude-1-2
anthropic/claude-1-3,anthropic,Claude 1.3,no,anthropic/claude-1-3
anthropic/claude-2-0-2023-07-12,anthropic,Claude 2.0,no,anthropic/claude-2-0-2023-07-12
anthropic/claude-2-1-2023-11-22,anthropic,Claude 2.1,no,anthropic/claude-2-1-2023-11-22
anthropic/claude-3-5-sonnet-2024-06-21,anthropic,Claude 3.5 Sonnet (2024-06-20),no,anthropic/claude-3-5-sonnet-2024-06-21
anthropic/claude-3-5-sonnet-2024-10-22,anthropic,Claude 3.5 Sonnet (2024-10-22),no,anthropic/claude-3-5-sonnet-2024-10-22
anthropic/claude-3-sonnet-2024-03-04,anthropic,Claude 3 Sonnet,no,anthropic/claude-3-sonnet-2024-03-04
anthropic/claude-instant-1-0-2023-03-14,anthropic,Claude Instant 1.0,no,anthropic/claude-instant-1-0-2023-03-14
anthropic/claude-instant-1-1,anthropic,Claude Instant 1.1,no,anthropic/claude-instant-1-1
anthropic/claude-instant-1-2-2023-08-09,anthropic,Claude Instant 1.2,no,anthropic/claude-instant-1-2-2023-08-09
baidu/ernie-4-5-turbo,baidu,Ernie 4.5 Turbo,no,baidu/ernie-4-5-turbo
baidu/ernie-5-0-0110,baidu,Ernie 5.0 0110,no,baidu/ernie-5-0-0110
baidu/ernie-5-0-2026-01-22,baidu,Ernie 5.0,no,baidu/ernie-5-0-2026-01-22
baidu/ernie-5-0-preview-1203,baidu,Ernie 5.0 Preview 1203,no,baidu/ernie-5-0-preview-1203
baidu/ernie-5-0-preview-1220,baidu,Ernie 5.0 Preview 1220,no,baidu/ernie-5-0-preview-1220
baidu/ernie-x1-1,baidu,Ernie X1.1,no,baidu/ernie-x1-1
baidu/qianfan-vl-3b,baidu,Qianfan VL 3B,no,baidu/qianfan-vl-3b
baidu/qianfan-vl-70b,baidu,Qianfan VL 70B,no,baidu/qianfan-vl-70b
baidu/qianfan-vl-8b,baidu,Qianfan VL 8B,no,baidu/qianfan-vl-8b
black-forest-labs/flux-2-dev-2025-11-25,black-forest-labs,Flux 2 Dev,no,black-forest-labs/flux-2-dev-2025-11-25
bytedance/seed-1-6-2025-06-25,bytedance,Seed 1.6,no,bytedance/seed-1-6-2025-06-25
bytedance/seed-1-6-flash-2025-06-25,bytedance,Seed 1.6 Flash,no,bytedance/seed-1-6-flash-2025-06-25
bytedance/seed-1-8-2025-12-18,bytedance,Seed 1.8,no,bytedance/seed-1-8-2025-12-18
bytedance/seed-2-0-lite-2026-02-14,bytedance,Seed 2.0 Lite,no,bytedance/seed-2-0-lite-2026-02-14
bytedance/seed-2-0-mini-2026-02-14,bytedance,Seed 2.0 Mini,no,bytedance/seed-2-0-mini-2026-02-14
bytedance/seed-2-0-pro-2026-02-14,bytedance,Seed 2.0 Pro,no,bytedance/seed-2-0-pro-2026-02-14
bytedance/seed-coder-8b-instruct,bytedance,Seed Coder 8B Instruct,no,bytedance/seed-coder-8b-instruct
bytedance/seed-coder-8b-reasoning,bytedance,Seed Coder 8B Reasoning,no,bytedance/seed-coder-8b-reasoning
bytedance/seed-oss-36b-instruct,bytedance,Seed OSS 36B Instruct,no,bytedance/seed-oss-36b-instruct
bytedance/seedream-4-5-2025-12-03,bytedance,Seedream 4.5,no,bytedance/seedream-4-5-2025-12-03
cohere/c4ai-aya-expanse-32b,cohere,C4AI Aya Expanse 32B,no,cohere/c4ai-aya-expanse-32b
cohere/c4ai-aya-expanse-8b,cohere,C4AI Aya Expanse 8B,no,cohere/c4ai-aya-expanse-8b
cohere/c4ai-aya-vision-32b-2025-03-04,cohere,C4AI Aya Vision 32B,no,cohere/c4ai-aya-vision-32b-2025-03-04
cohere/c4ai-aya-vision-8b-2025-03-04,cohere,C4AI Aya Vision 8B,no,cohere/c4ai-aya-vision-8b-2025-03-04
cohere/command,cohere,Command,no,cohere/command
cohere/command-light,cohere,Command Light,no,cohere/command-light
