provider_id,provider_api_model_id,api_model_id,provider_model_slug,current_internal_model_id,suggested_internal_model_id,suggested_strategy,suggested_score,action,source_file
alibaba-cloud,alibaba-cloud:qwen/qvq-max,qwen/qvq-max,qvq-max-2025-03-25,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-flash,qwen/qwen-flash,qwen-flash-2025-07-28,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-flash-character,qwen/qwen-flash-character,qwen-flash-character,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image,qwen/qwen-image,qwen-image,,qwen/qwen-image,exact_api_model_id,1,apply_suggested_link,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-edit,qwen/qwen-image-edit,qwen-image-edit,,qwen/qwen-image-edit,exact_api_model_id,1,apply_suggested_link,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-edit-2025-10-30,qwen/qwen-image-edit-2025-10-30,qwen-image-edit-plus-2025-10-30,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-edit-2025-12-15,qwen/qwen-image-edit-2025-12-15,qwen-image-edit-plus-2025-12-15,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-edit-max,qwen/qwen-image-edit-max,qwen-image-edit-max-2026-01-16,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-max,qwen/qwen-image-max,qwen-image-max-2025-12-30,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-image-plus,qwen/qwen-image-plus,qwen-image-plus-2026-01-09,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-max,qwen/qwen-max,qwen-max-2025-01-25,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-mt-flash,qwen/qwen-mt-flash,qwen-mt-flash,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-mt-lite,qwen/qwen-mt-lite,qwen-mt-lite,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-mt-plus,qwen/qwen-mt-plus,qwen-mt-plus,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-mt-turbo,qwen/qwen-mt-turbo,qwen-mt-turbo,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-omni-turbo,qwen/qwen-omni-turbo,qwen-omni-turbo,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-01-25,qwen/qwen-plus-2025-01-25,qwen-plus-2025-01-25,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-04-28,qwen/qwen-plus-2025-04-28,qwen-plus-2025-04-28,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-07-14,qwen/qwen-plus-2025-07-14,qwen-plus-2025-07-14,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-07-28,qwen/qwen-plus-2025-07-28,qwen-plus-2025-07-28,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-09-11,qwen/qwen-plus-2025-09-11,qwen-plus-2025-09-11,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-2025-12-01,qwen/qwen-plus-2025-12-01,qwen-plus-2025-12-01,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-plus-character,qwen/qwen-plus-character,qwen-plus-character,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-turbo-2024-11-01,qwen/qwen-turbo-2024-11-01,qwen-turbo-2024-11-01,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-turbo-2025-04-28,qwen/qwen-turbo-2025-04-28,qwen-turbo-2025-04-28,,,,,manual_review,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
alibaba-cloud,alibaba-cloud:qwen/qwen-vl-max-2025-04-08,qwen/qwen-vl-max-2025-04-08,qwen-vl-max-2025-04-08,,qwen/qwen-vl,fuzzy_token_unique,0.89,apply_suggested_link,Z:\ai-stats-public\apps\web\src\data\api_providers\alibaba-cloud\models.json
